5214BLCF3Y/CP/P1/01,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,24,,16
5214BLCF3Y/CP/P1/02,5214BLCF3Y,Basic Linux and Coding for AA,Computer practicum,25,3/9/15|10/9/15|17/9/15|24/9/15|1/10/15|8/10/15|15/10/15,16
5214OPMA6Y/H/P1/01,5214OPMA6Y,Open Problems in Modern Astrophysics,Hoorcollege,21,31/8/15|7/9/15|14/9/15|21/9/15|28/9/15|5/10/15|12/10/15,8
5214OPMA6Y/H/P1/02,5214OPMA6Y,Open Problems in Modern Astrophysics,Hoorcollege,21,4/9/15|11/9/15|18/9/15|25/9/15|2/10/15|9/10/15|16/10/15,8
5254ENCH6Y/CP/P1/01,5254ENCH6Y,Environmental Chemistry,Computer practicum,30,24/09/15,16
5254ENCH6Y/H/P1/01,5254ENCH6Y,Environmental Chemistry,Hoorcollege,30,31/08/15,8
5254ENCH6Y/WC/P1/01,5254ENCH6Y,Environmental Chemistry,Werkcollege,30,03/09/15,8
53541MMT6Y/H/P1/01,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,40,1/9/15|8/9/15|15/9/15|22/9/15|29/9/15|6/10/15|13/10/15|20/10/15,8
53541MMT6Y/H/P1/02,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hoorcollege,40,03/09/15,16
53541MMT6Y/WC/P1/01,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Werkcollege,40,1/9/15|8/9/15|15/9/15|22/9/15|29/9/15|6/10/15|13/10/15,8
53541PAP6Y/H/P1/01,53541PAP6Y,Particle Physics I,Hoorcollege,40,31/08/15,16
53541PAP6Y/H/P1/02,53541PAP6Y,Particle Physics I,Hoorcollege,40,02/09/15,16
53541PHO6Y/WC/P1/01,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,31/08/15,16
53541PHO6Y/WC/P1/02,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,03/09/15,16
53541SHO0Y/H/P1/01,53541SHO0Y,Showcase 1,Hoorcollege,35,10/9/15|24/9/15|8/10/15,8
53541SPC6Y/H/P1/01,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Hoorcollege,70,1/9/15|8/9/15|15/9/15|22/9/15|29/9/15|6/10/15|13/10/15,16
53541SPC6Y/H/P1/02,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Hoorcollege,70,3/9/15|10/9/15|17/9/15|24/9/15|1/10/15|8/10/15|15/10/15,16
53541SPC6Y/HerT/P3/01,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Hertentamen,9,05/01/16,13
53541SPC6Y/WC/P1/02,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,30,11/09/15,8
53541SPC6Y/WC/P1/03,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,30,,8
53541SPC6Y/WC/P1/04,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,30,,8
53541SPC6Y/WC/P1/05,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,20,07/09/15,8
53541SPC6Y/WC/P1/06,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,20,21/09/15,8
53541SPC6Y/WC/P1/07,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,20,28/09/15,8
53541SPC6Y/WC/P1/08,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,20,05/10/15,8
53541SPC6Y/WC/P1/09,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,20,12/10/15,8
5354EMEM6Y/H/P1/01,5354EMEM6Y,Emergent Energy Materials,Hoorcollege,30,31/8/15|7/9/15|14/9/15|21/9/15|28/9/15|5/10/15|12/10/15,8
5354EMEM6Y/H/P1/02,5354EMEM6Y,Emergent Energy Materials,Hoorcollege,30,3/9/15|10/9/15|17/9/15|24/9/15|1/10/15|8/10/15|15/10/15,8
5354EMEM6Y/H/P1/03,5354EMEM6Y,Emergent Energy Materials,Hoorcollege,30,3/9/15|10/9/15|17/9/15|24/9/15|1/10/15|8/10/15|15/10/15,8
5354LITI6Y/H/P1/01,5354LITI6Y,Light-tissue Interaction,Hoorcollege,15,,16
5354LITI6Y/H/P1/02,5354LITI6Y,Light-tissue Interaction,Hoorcollege,15,3/9/15|10/9/15|17/9/15|24/9/15|1/10/15|8/10/15|15/10/15,16
5354PHSC6Y/H/P1/01,5354PHSC6Y,Philosophy of Science,Hoorcollege,48,31/08/15,16
5354PHSC6Y/WC/P1/01,5354PHSC6Y,Philosophy of Science,Werkcollege,20,3/9/15|10/9/15|17/9/15|24/9/15|1/10/15|8/10/15|15/10/15,16
5354STDA6Y/H/P1/01,5354STDA6Y,Statistical Data Analysis,Hoorcollege,15,2/9/15|9/9/15|16/9/15|23/9/15|30/9/15|7/10/15|14/10/15,8
5354STDA6Y/H/P1/02,5354STDA6Y,Statistical Data Analysis,Hoorcollege,15,4/9/15|11/9/15|18/9/15|25/9/15|2/10/15|9/10/15|16/10/15,8
5354STDA6Y/WC/P1/01,5354STDA6Y,Statistical Data Analysis,Werkcollege,15,2/9/15|9/9/15|16/9/15|23/9/15|30/9/15|7/10/15|14/10/15,8
5354STDA6Y/WC/P1/02,5354STDA6Y,Statistical Data Analysis,Werkcollege,15,4/9/15|11/9/15|18/9/15|25/9/15|2/10/15|9/10/15|16/10/15,8